k,SSE,Silhouette
2170,580.3907239450388,0.9493542573253132
2180,574.6605069116741,0.9495537419801355
2190,569.4964689001076,0.9497822184577488
2200,564.2479019860558,0.9499343617203894
2210,558.5317653755259,0.9501085957541908
2220,553.8520804135246,0.9502607066615775
2230,548.9484357914864,0.9503353300372787
2240,543.7696509380689,0.9504325273211083
2250,539.1245549946758,0.9506204822515264
2260,534.2139448117631,0.9506769173474614
2270,529.4891491761206,0.9508688839855374
2280,523.6591201333865,0.9510474448704102
2290,519.4021950044921,0.9511020032393771
2300,514.313291314762,0.9512355174372344
2310,509.41366803869244,0.9514106245478209
2320,504.8824058239362,0.9515059767786412
2330,500.9647396561117,0.9516295070513605
2340,496.01532445429115,0.95181710398965
2350,491.3270077996485,0.9519033481874247
2360,486.919712469851,0.9520178275308381
2370,481.5238416261338,0.952319875170979
2380,476.77395608249014,0.9524494020646846
2390,471.957546415581,0.9525562282787373
2400,466.723231818447,0.9526730229501249
2410,461.6556751747113,0.9528292853941625
2420,456.34884034229873,0.9530680060528692
2430,452.06472969379234,0.9531750981708529
2440,447.08331267268926,0.9533344049934546
2450,443.0181846090114,0.9534345026614962
2460,438.42375469566275,0.9535952625834969
2470,433.62593808232134,0.9537383304263729
2480,429.8409598962649,0.9539154357887507
2490,425.43191898355246,0.9540135465955044
2500,420.9190014169543,0.9541050385390968
2510,416.4444832305411,0.9541993913299724
2520,411.9640873605503,0.9544526109206791
2530,407.1321598544893,0.9546068330058144
2540,402.90281231621844,0.9547204388533136
2550,398.1570967667933,0.9548726255195158
2560,393.3300050571118,0.9550458281490596
2570,389.0150489119749,0.9551325359608283
2580,384.79156980439063,0.9553080642178984
2590,380.4040776276857,0.9554319390194979
2600,375.75253832200224,0.955593948180353
2610,371.55167556742424,0.9557395966566197
2620,368.2044305936501,0.9557783988446308
2630,363.6852500083184,0.9559331928734749
2640,359.0276778547416,0.9561370170181113
2650,354.29060136936386,0.9563390321309895
2660,350.12386805007526,0.9564778271519214
2670,345.99535453272114,0.9566727403950452
2680,341.83724677171216,0.9568404550243608
2690,338.12010585317176,0.9569508058982965
2700,334.26552912431305,0.9570513804922005
2710,330.3556454134639,0.957163658168226
2720,326.3641957130212,0.9572909523405513
2730,322.60196317211694,0.957472468925131
2740,319.20937015490637,0.9576777846460043
2750,314.88709699149564,0.9578479756724058
2760,311.2859678690778,0.9579403627861949
2770,307.07236416834934,0.958075307745544
2780,302.58329832593546,0.9582875115799134
2790,298.51448208271086,0.9584411343617818
2800,294.91748199325883,0.9585076801294311
2810,291.1080877200637,0.9586240365884213
2820,287.13094918790625,0.9587313342944733
2830,283.13426360166557,0.958883561571015
2840,279.1336002920836,0.9590036917977917
2850,275.3381782376238,0.9590560460227534
2860,271.16199040305617,0.9592047504110874
2870,267.3273311141866,0.9593697535749852
2880,263.5556718835992,0.9594754454715364
2890,260.0407051273841,0.9595432072784889
2900,256.49293382331683,0.9596841056115235
2910,253.12173052708536,0.9597373740068117
2920,249.6114200068477,0.9598962474317855
2930,245.94435263716167,0.9599783401527434
2940,242.23690480909016,0.9600774990121077
2950,238.8760399828977,0.9601979030075095
2960,235.13937193513777,0.9603122301423735
2970,231.24636633562477,0.9605176080710677
2980,227.94334793452583,0.9606146226014213
2990,225.9561938760086,0.9604810973268659
