k,SSE,Silhouette
50,26217.041765040576,0.4066034946358503
60,23219.45557425651,0.46573095354565747
70,21370.498092411843,0.4826822320964391
80,20076.544336262854,0.5023068305650117
90,18786.23702954072,0.5226343971425454
100,17719.09277207064,0.5411224618050242
110,16942.407675434453,0.55576053741711
120,15905.345544153446,0.5723602482701728
130,14976.714019893934,0.5936359009697384
140,14170.93537500366,0.6071047613422468
150,13668.519169160114,0.6136367334951297
160,13067.064116778909,0.6248622655785382
170,12526.920080609321,0.639057697840313
180,11988.648317316598,0.6534091593935165
190,11505.477171705623,0.6667914140031099
200,11086.080803195448,0.6760241566736042
210,10575.320523754319,0.6888326961366169
220,10202.633866026741,0.6962199544923536
230,9922.31620836297,0.7030948126825312
240,9547.751488745589,0.7094563104742165
250,9205.771732604102,0.7179050285317508
260,8873.039060583102,0.7253564003699251
270,8581.81979173332,0.7328080750744412
280,8314.3640976456,0.7407136086952868
290,8090.034655296605,0.7458536044513417
300,7766.078552350566,0.7520760227918283
310,7562.277384819553,0.7561307519636935
320,7343.045320013961,0.7594069130840734
330,7107.191205784882,0.7645049856570765
340,6901.123486361084,0.7680438820374891
350,6679.6085530758655,0.7734837048227392
360,6516.725067527588,0.7768476112152309
370,6332.183109417831,0.7808446282024416
380,6154.449893884431,0.7856834040137929
390,6000.402259280368,0.7881455015997244
400,5860.44290726594,0.791247064658848
410,5681.570006110945,0.8006168681000423
420,5564.957121016388,0.8033904459877038
430,5416.59583149877,0.8066230222003503
440,5269.660699060249,0.8097407809566032
450,5168.698756021455,0.8119231225843556
460,5074.074981073594,0.8138761723230851
470,4980.442064111068,0.8165171607291317
480,4871.130531637042,0.8198507404587985
490,4766.682475999021,0.8221285100852783
500,4670.629548151508,0.8243053827746106
510,4585.909568101456,0.8262652323947125
520,4495.331831745781,0.8283422351101108
530,4427.02362430583,0.8307054330409877
540,4321.640177384483,0.833143678044626
550,4234.0921880558335,0.835080396505313
560,4145.565812379586,0.8370269800799388
570,4065.6120303278094,0.8392677607660746
580,3992.8030801322543,0.8411856183211031
590,3921.805891719119,0.8432274522474331
600,3840.4389094974076,0.8450360491235291
610,3772.3821724435925,0.8469967764506453
620,3693.331623890227,0.8489757107288133
630,3616.7749592355513,0.8508924041996961
640,3559.2052700720415,0.8525369751850889
650,3503.6082626164475,0.8542747380994734
660,3438.2140543067853,0.8558063028202598
670,3379.5387373188883,0.8578973542301375
680,3311.928004257437,0.8593934237507725
690,3248.544845669176,0.8608871125409602
700,3205.6004340836967,0.8619824551825956
710,3155.131758868339,0.8637054167134547
720,3092.8419949259114,0.8663079812037338
730,3038.8868524106056,0.8678713299351781
740,2992.7336554975454,0.8688985674018438
750,2943.0869868535237,0.8700765321689872
760,2885.314991925608,0.8717028274695612
770,2831.819800443159,0.8733651440625413
780,2785.4333259917234,0.8751523984921981
790,2745.4929034096285,0.8761417685069469
800,2705.9638403931767,0.8773804183911051
810,2652.377023238798,0.8784282505206377
820,2608.1093709790343,0.8794575721642053
830,2574.9636565537953,0.8801946750076749
840,2532.02608005652,0.8811057231601137
850,2494.697826770787,0.8824059393829675
860,2458.1291076591087,0.8842934857770062
870,2419.933777165417,0.8849385046528624
880,2378.647434744246,0.8862712261804168
890,2346.4835798285003,0.8869422247669936
900,2307.669664509197,0.8878970366923216
910,2272.5433357564066,0.8886048632627197
920,2236.5251704935085,0.889693447251293
930,2206.955856100361,0.8907264049803124
940,2173.8807442114153,0.891794347440184
950,2141.2609632516615,0.8928594714117631
960,2110.6569009811406,0.8938234053178584
