mileage,model,color_id,name_cluster,real,pred,error
0.08500008,0.997151,16.0,5.0,5.800004e+08,5.4697786e+08,3.3022528e+07
0.04200004,0.99786323,16.0,150.0,2.4800015e+09,1.9269784e+09,5.530231e+08
0.049000047,0.99786323,16.0,21.0,6.8499955e+08,7.2195706e+08,3.6957504e+07
0.11111111,0.9900285,26.0,28.0,1.4499995e+08,1.515485e+08,6.548544e+06
0.2000002,0.99216527,25.0,59.0,2.8299974e+08,3.1006243e+08,2.7062688e+07
0.15000015,0.994302,8.0,40.0,3.6500016e+08,3.5323357e+08,1.1766592e+07
0.11111111,0.98575497,6.0,2.0,2.4999995e+08,2.5931157e+08,9.311616e+06
0.03000003,0.99786323,16.0,21.0,7.3499955e+08,7.279984e+08,7.001152e+06
0.2043502,0.99216527,16.0,87.0,2.7000006e+08,3.276299e+08,5.7629824e+07
0.012000012,0.99786323,16.0,23.0,6.350006e+08,6.1796326e+08,1.7037312e+07
0.0,0.9992877,23.0,274.0,2.450001e+09,1.4435706e+09,1.00643034e+09
0.33000034,0.988604,25.0,4.0,1.6499989e+08,1.5623992e+08,8.759968e+06
0.03000003,0.99786323,16.0,8.0,3.750003e+08,3.7138787e+08,3.612416e+06
0.24000023,0.994302,16.0,414.0,3.6999994e+08,4.4663555e+08,7.663562e+07
0.033000033,0.99786323,23.0,93.0,7.650006e+08,7.895478e+08,2.45472e+07
0.4000004,0.9907407,16.0,12.0,1.8499989e+08,1.8995646e+08,4.956576e+06
0.17000017,0.988604,16.0,33.0,6.9999974e+08,4.9444742e+08,2.0555232e+08
0.27000028,0.98717946,23.0,20.0,3.2000006e+08,3.2184067e+08,1.840608e+06
0.3000003,0.9900285,16.0,84.0,1.8499989e+08,1.8877107e+08,3.771184e+06
0.28600028,0.99216527,16.0,427.0,4.9000016e+08,4.7632243e+08,1.3677728e+07
0.06000006,0.99572647,16.0,11.0,4.550001e+08,4.4116864e+08,1.3831456e+07
0.022000022,0.9985755,16.0,70.0,4.199996e+08,3.8307104e+08,3.6928576e+07
0.04000004,0.9985755,8.0,34.0,4.149996e+08,3.7098717e+08,4.401245e+07
0.07900008,0.99501425,16.0,160.0,7.0999994e+08,7.235658e+08,1.3565888e+07
0.15000015,0.99572647,16.0,34.0,3.0999974e+08,2.8314067e+08,2.6859072e+07
0.035000034,0.994302,23.0,512.0,8.999998e+09,8.284042e+09,7.159562e+08
0.25000024,0.98717946,25.0,40.0,2.2999994e+08,2.2673925e+08,3.260688e+06
0.12800013,0.99572647,16.0,8.0,3.3499984e+08,3.2345363e+08,1.1546208e+07
0.0,0.9992877,23.0,91.0,1.6141002e+09,1.6573964e+09,4.329613e+07
0.36950037,0.98789173,18.0,32.0,1.2499991e+08,1.6055818e+08,3.5558264e+07
0.03800004,0.99572647,16.0,48.0,4.7499965e+08,4.8887526e+08,1.3875616e+07
0.35000035,0.9907407,16.0,98.0,3.0999974e+08,3.3735562e+08,2.7355872e+07
0.28000027,0.9900285,8.0,40.0,2.7000006e+08,2.6390253e+08,6.097536e+06
0.19000019,0.98717946,16.0,4.0,1.7999987e+08,1.5084168e+08,2.9158192e+07
0.0,0.9992877,16.0,150.0,7.1799936e+08,2.042579e+09,1.3245796e+09
0.2000002,0.9893162,16.0,2.0,3.250003e+08,3.375191e+08,1.2518816e+07
0.3020003,0.991453,16.0,17.0,3.6299994e+08,3.8063187e+08,1.7631936e+07
0.4000004,0.9893162,25.0,40.0,2.4000018e+08,2.3077994e+08,9.22024e+06
0.10500011,0.99358976,16.0,403.0,1.9500018e+09,2.3539464e+09,4.0394458e+08
0.028000029,0.997151,16.0,121.0,8.249995e+08,8.294821e+08,4.482624e+06
0.17000017,0.99358976,16.0,5.0,4.450004e+08,4.5279072e+08,7.790336e+06
0.095000096,0.997151,16.0,21.0,6.799995e+08,6.676413e+08,1.2358208e+07
0.15000015,0.991453,0.0,194.0,3.999997e+08,4.8323315e+08,8.323344e+07
0.16000016,0.99501425,16.0,154.0,5.4500026e+08,6.7644595e+08,1.314457e+08
0.25000024,0.98789173,26.0,19.0,1.6499989e+08,1.5965488e+08,5.345008e+06
0.0,0.9985755,23.0,74.0,1.5499988e+09,1.5041024e+09,4.589645e+07
0.37600037,0.9900285,16.0,105.0,1.499999e+08,1.700834e+08,2.0083488e+07
0.107000105,0.99643874,23.0,5.0,5.3000048e+08,5.253306e+08,4.669888e+06
0.35000035,0.98575497,18.0,4.0,1.550001e+08,1.402707e+08,1.4729392e+07
0.0,0.9992877,23.0,215.0,1.2799991e+09,7.365138e+08,5.434853e+08
0.0,0.9992877,16.0,249.0,8.5799955e+08,8.151749e+08,4.282464e+07
0.053200055,0.98504275,23.0,159.0,1.2000003e+08,1.2987749e+08,9.877456e+06
0.01000001,0.98646724,25.0,4.0,1.1000003e+08,1.1610189e+08,6.101856e+06
0.15000015,0.99572647,9.0,35.0,3.9000032e+08,3.867838e+08,3.216512e+06
0.14300014,0.994302,16.0,2.0,4.0999968e+08,4.3679715e+08,2.6797472e+07
0.0,0.99643874,16.0,5.0,1.0000008e+09,5.3177248e+08,4.682283e+08
0.22700022,0.9900285,16.0,99.0,1.8499989e+08,1.980282e+08,1.3028304e+07
0.0065000067,0.9992877,16.0,3.0,5.800004e+08,6.242359e+08,4.423552e+07
0.2900003,0.99358976,16.0,2.0,4.5000035e+08,3.919908e+08,5.800957e+07
0.18100019,0.99216527,16.0,156.0,5.0999987e+08,5.319896e+08,2.1989728e+07
0.17600018,0.99358976,0.0,141.0,6.199998e+08,6.9383334e+08,7.383354e+07
0.06600007,0.99786323,16.0,288.0,1.235001e+09,1.2935715e+09,5.8570496e+07
0.22600022,0.98717946,25.0,2.0,2.7000006e+08,2.866324e+08,1.663232e+07
0.33400032,0.99216527,8.0,129.0,3.0999974e+08,2.6596626e+08,4.403349e+07
0.017000018,0.99786323,16.0,8.0,3.750003e+08,3.7538243e+08,382144.0
0.16500017,0.98504275,25.0,87.0,5.949994e+08,2.0510573e+08,3.898937e+08
0.0,0.9992877,16.0,87.0,1.7499986e+09,4.7506397e+08,1.2749347e+09
0.09100009,0.99501425,16.0,15.0,2.4999995e+08,3.0445875e+08,5.44588e+07
0.16000016,0.99501425,16.0,2.0,4.5000035e+08,4.525671e+08,2.566752e+06
0.14000013,0.9928775,8.0,59.0,3.2000006e+08,3.2423747e+08,4.237408e+06
0.0,0.9992877,16.0,113.0,1.1111109e+08,1.320771e+08,2.0966016e+07
0.11111111,0.97720796,16.0,0.0,2.2000016e+08,1.1452142e+08,1.0547874e+08
0.0,0.9992877,16.0,48.0,7.3000064e+08,5.9595354e+08,1.340471e+08
0.023700023,0.9985755,23.0,132.0,7.999999e+08,7.882432e+08,1.1756672e+07
0.11000011,0.99572647,16.0,26.0,3.2000006e+08,3.2596938e+08,5.969312e+06
0.36800036,0.982906,25.0,51.0,2.2500006e+08,2.2849362e+08,3.493552e+06
0.27500027,0.98504275,16.0,4.0,1.3999994e+08,1.2684662e+08,1.3153312e+07
0.0,0.9992877,16.0,3.0,6.950002e+08,6.239621e+08,7.103808e+07
0.0,0.9992877,23.0,16.0,1.0000008e+09,8.837862e+08,1.1621459e+08
0.11900012,0.99501425,16.0,101.0,6.650003e+08,6.94102e+08,2.9101696e+07
0.11100011,0.99572647,16.0,63.0,5.3000048e+08,5.007245e+08,2.9275968e+07
0.17200017,0.99358976,16.0,314.0,8.899995e+08,9.507883e+08,6.07888e+07
0.0,0.9992877,16.0,145.0,7.0500026e+08,7.643734e+08,5.937312e+07
0.3770004,0.98789173,6.0,87.0,1.2800009e+08,2.1435326e+08,8.6353176e+07
0.22000022,0.9900285,25.0,84.0,1.6499989e+08,1.9007498e+08,2.5075088e+07
0.0,0.9985755,16.0,145.0,8.799999e+08,7.4719526e+08,1.3280461e+08
0.17000017,0.99358976,21.0,133.0,8.999994e+08,8.545812e+08,4.541824e+07
0.018000018,0.9985755,16.0,494.0,1.1099994e+09,1.1728918e+09,6.2892416e+07
0.12700012,0.99358976,16.0,12.0,2.350002e+08,2.319706e+08,3.0296e+06
0.03000003,0.99786323,16.0,21.0,7.3499955e+08,7.279984e+08,7.001152e+06
0.2000002,0.9900285,16.0,180.0,2.2500006e+08,2.044441e+08,2.0555968e+07
0.0,0.9985755,16.0,400.0,2.600001e+09,2.7690542e+09,1.6905318e+08
0.05000005,0.997151,16.0,21.0,5.6999955e+08,6.895653e+08,1.1956576e+08
0.3000003,0.98504275,23.0,4.0,1.1000003e+08,1.2383593e+08,1.3835896e+07
0.11111111,0.9729345,13.0,518.0,4.5000035e+08,2.3176848e+08,2.1823187e+08
0.004000004,0.9985755,23.0,66.0,1.7899991e+09,1.7471104e+09,4.2888704e+07
0.3000003,0.98504275,6.0,64.0,1.5999997e+08,1.774697e+08,1.7469728e+07
0.2065002,0.9907407,16.0,84.0,2.2700018e+08,1.9737434e+08,2.962584e+07
0.23000023,0.9928775,16.0,166.0,5.3000048e+08,5.293973e+08,603168.0
0.09200009,0.99501425,16.0,286.0,6.350006e+08,6.106182e+08,2.43824e+07
0.0,0.9992877,16.0,172.0,1.8299992e+09,5.343132e+08,1.295686e+09
0.11111111,0.99643874,16.0,39.0,1.2345616e+07,1.685866e+07,4.513044e+06
0.4000004,0.98717946,25.0,87.0,2.4499997e+08,2.0447373e+08,4.052624e+07
0.16700016,0.9893162,16.0,459.0,1.6899985e+09,1.5227932e+09,1.6720525e+08
0.2010002,0.9893162,16.0,124.0,9.4999974e+08,9.4339456e+08,6.605184e+06
0.24000023,0.98646724,16.0,514.0,2.450001e+09,4.8609725e+09,2.4109716e+09
0.0,0.99501425,16.0,44.0,2.8199982e+09,2.6195236e+09,2.0047462e+08
0.027000027,0.99786323,16.0,8.0,3.6999994e+08,3.7225734e+08,2.257408e+06
0.0,0.9992877,26.0,94.0,2.8098028e+09,2.263846e+09,5.4595686e+08
0.10500011,0.99643874,23.0,21.0,5.949994e+08,6.211799e+08,2.618048e+07
0.045000046,0.997151,16.0,5.0,5.0000013e+08,5.599159e+08,5.9915776e+07
0.14000013,0.99501425,8.0,2.0,3.9000032e+08,4.396499e+08,4.964957e+07
0.4000004,0.988604,8.0,59.0,2.0000014e+08,2.5404006e+08,5.403992e+07
0.095000096,0.997151,16.0,21.0,6.799995e+08,6.676413e+08,1.2358208e+07
0.13500014,0.99358976,16.0,335.0,9.599998e+08,9.018552e+08,5.8144576e+07
0.05000005,0.9985755,16.0,119.0,1.6499997e+09,1.6049489e+09,4.505088e+07
0.12000012,0.99358976,16.0,57.0,2.350002e+08,2.5202754e+08,1.7027344e+07
0.0,0.9992877,16.0,8.0,4.169999e+08,3.9191453e+08,2.5085376e+07
0.18000019,0.9928775,8.0,2.0,3.549998e+08,4.0084288e+08,4.584307e+07
0.2030002,0.9907407,25.0,28.0,1.970001e+08,1.7852997e+08,1.8470128e+07
0.03000003,0.99786323,0.0,73.0,4.7999965e+08,4.8133818e+08,1.338528e+06
0.0,0.9992877,16.0,145.0,1.0400009e+09,7.643734e+08,2.7562752e+08
0.0075000073,0.9985755,0.0,182.0,6.3000006e+08,5.1637786e+08,1.1362221e+08
0.22000022,0.98717946,25.0,7.0,2.4999995e+08,2.1773008e+08,3.2269872e+07
