mileage,model,color_id,name_cluster,real,pred,error
0.0,0.9985755,0.0,199.0,6.249996e+08,5.3805626e+08,8.694336e+07
0.011222011,0.988604,26.0,33.0,1.2999993e+08,1.3072996e+08,730032.0
0.2850003,0.9907407,16.0,5.0,3.8499968e+08,3.3676995e+08,4.822973e+07
0.24600025,0.9907407,23.0,5.0,3.9499965e+08,3.4428176e+08,5.071789e+07
0.1950002,0.9907407,1.0,1.0,2.7000006e+08,3.1967738e+08,4.967731e+07
0.0,0.9985755,23.0,14.0,2.1400001e+09,1.9038893e+09,2.3611085e+08
0.11300011,0.99358976,23.0,8.0,1.06500096e+09,8.921988e+08,1.7280218e+08
0.12345512,0.98717946,0.0,77.0,3.9499965e+08,3.611333e+08,3.3866336e+07
0.0,0.9992877,16.0,117.0,2.0000004e+07,5.508926e+08,5.308926e+08
0.32000032,0.982906,26.0,34.0,1.5999997e+08,1.3722037e+08,2.27796e+07
0.12000012,0.997151,16.0,5.0,4.550001e+08,5.167631e+08,6.176301e+07
0.22000022,0.994302,16.0,58.0,2.2000018e+08,2.1149422e+08,8.505952e+06
0.13900013,0.99216527,23.0,218.0,4.0999968e+08,3.4261002e+08,6.738966e+07
0.18100019,0.99216527,16.0,52.0,5.0999987e+08,4.8019197e+08,2.9807904e+07
0.0,0.9992877,16.0,0.0,4.149996e+08,3.9780394e+08,1.719568e+07
0.07000007,0.99572647,16.0,58.0,2.7499997e+08,2.6238427e+08,1.2615696e+07
0.42800042,0.98646724,6.0,15.0,1.4499995e+08,1.2930257e+08,1.5697384e+07
0.18000019,0.994302,8.0,64.0,3.750003e+08,3.6517843e+08,9.821856e+06
0.05000005,0.9985755,16.0,148.0,1.6499997e+09,1.4846465e+09,1.6535322e+08
0.13100013,0.99501425,25.0,34.0,3.8000006e+08,3.2911114e+08,5.088893e+07
0.4000004,0.98717946,26.0,33.0,1.3900003e+08,1.20155544e+08,1.8844488e+07
0.25355026,0.988604,0.0,239.0,3.9799974e+08,3.9653808e+08,1.461664e+06
0.123444125,0.98717946,25.0,5.0,2.4999995e+08,2.934112e+08,4.341125e+07
0.15000015,0.994302,16.0,8.0,1.0799992e+09,8.959214e+08,1.8407782e+08
0.2000002,0.9893162,16.0,1.0,3.0800003e+08,3.0774634e+08,253696.0
0.2000002,0.9928775,8.0,177.0,4.7999965e+08,4.039983e+08,7.600134e+07
0.07000007,0.99572647,16.0,1.0,4.650001e+08,4.5051306e+08,1.448704e+07
0.12000012,0.9900285,15.0,98.0,1.2499992e+08,1.5422864e+08,2.922872e+07
0.043000042,0.99786323,16.0,5.0,5.800004e+08,5.539176e+08,2.6082816e+07
0.0,0.9992877,16.0,404.0,1.9500018e+09,1.8990584e+09,5.094336e+07
0.11900012,0.9928775,23.0,289.0,6.3000006e+08,7.298823e+08,9.988224e+07
0.25888625,0.9843305,0.0,187.0,2.549998e+08,2.9711e+08,4.211021e+07
0.23000023,0.988604,8.0,1.0,2.87e+08,2.7727843e+08,9.721568e+06
0.42000043,0.988604,25.0,66.0,1.7999987e+08,1.5362882e+08,2.6371056e+07
0.2000002,0.9928775,16.0,5.0,4.0999968e+08,3.9312362e+08,1.6876064e+07
0.095000096,0.99358976,16.0,30.0,2.670001e+08,2.628115e+08,4.188592e+06
0.2000002,0.9893162,16.0,1.0,3.250003e+08,3.0774634e+08,1.7253952e+07
0.2900003,0.991453,8.0,34.0,2.2500006e+08,2.4720333e+08,2.2203264e+07
0.22222222,0.9900285,16.0,435.0,1.499999e+08,1.4158107e+08,8.418832e+06
0.054000054,0.99358976,16.0,58.0,2.350002e+08,2.3249373e+08,2.506464e+06
0.06700007,0.99572647,23.0,118.0,5.949994e+08,5.396174e+08,5.5382016e+07
0.008000008,0.99786323,16.0,113.0,1.00999917e+09,1.120014e+09,1.1001478e+08
0.4000004,0.98717946,26.0,33.0,1.2000003e+08,1.20155544e+08,155512.0
0.4000004,0.98789173,25.0,7.0,1.4800005e+08,1.348448e+08,1.3155248e+07
0.12000012,0.99501425,16.0,179.0,5.0000013e+08,5.2321267e+08,2.3212544e+07
0.0,0.9992877,16.0,22.0,9.000006e+07,3.0853686e+08,2.185368e+08
0.05000005,0.994302,23.0,290.0,9.549999e+09,7.552611e+09,1.9973883e+09
0.062000062,0.997151,16.0,155.0,3.6200016e+08,3.3905734e+08,2.2942816e+07
0.0,0.9992877,23.0,48.0,1.4999997e+09,1.828799e+09,3.2879923e+08
0.3000003,0.98575497,25.0,5.0,2.3100013e+08,2.4441608e+08,1.3415952e+07
